variant_id,version,star_rating,overall_score,ap_score,vru_score,as_score,test_year
1,V7,5.0,90.2%,93.91%,83.53%,88.41%,2025
2,V7,5.0,90.8%,97.10%,79.37%,88.02%,2025
3,V7,5.0,85.0%,89.50%,78.24%,81.28%,2025
4,V7,5.0,87.3%,93.79%,74.57%,85.65%,2024
5,V7,5.0,91.8%,94.85%,85.23%,91.67%,2024
6,V7,5.0,93.5%,94.31%,90.42%,95.25%,2024
7,V7,5.0,89.4%,93.34%,79.34%,91.46%,2024
8,V7,5.0,86.4%,91.28%,76.20%,85.99%,2024
9,V7,5.0,89.2%,94.03%,77.89%,90.29%,2024
10,V7,5.0,88.6%,90.91%,82.60%,89.57%,2024
11,V7,5.0,83.9%,86.71%,73.84%,88.78%,2024
12,V7,5.0,89.5%,95.17%,73.37%,85.70%,2024
13,V7,5.0,90.5%,93.28%,85.50%,89.20%,2024
14,V7,5.0,84.9%,87.50%,78.79%,85.61%,2024
15,V6,5.0,89.9%,93.42%,67.08%,95.30%,2024
16,V6,5.0,90.0%,91.97%,73.75%,94.91%,2024
17,V6,5.0,86.9%,91.83%,68.20%,86.09%,2024
18,V6,5.0,89.8%,90.48%,78.19%,95.09%,2024
19,V6,5.0,90.2%,93.94%,69.45%,93.61%,2024
20,V6,6.0,92.7%,96.39%,75.99%,93.71%,2024
21,V6,5.0,88.9%,89.21%,80.46%,93.02%,2024
22,V6,5.0,86.6%,86.18%,69.92%,97.68%,2024
23,V6,5.0,88.8%,92.09%,85.51%,82.95%,2024
24,V6,5.0,86.2%,87.52%,68.04%,93.91%,2024
25,V6,5.0,86.2%,90.17%,66.69%,88.47%,2024
26,V6,5.0,87.9%,86.51%,83.71%,93.59%,2024
27,V6,5.0,89.3%,93.78%,71.65%,89.23%,2024
28,V6,5.0,89.1%,90.37%,79.83%,91.80%,2024
29,V6,6.0,93.9%,96.98%,75.38%,97.79%,2024
30,V6,5.0,88.6%,90.43%,73.49%,93.18%,2024
31,V6,5.0,89.1%,92.67%,75.29%,89.00%,2024
32,V6,5.0,90.2%,89.57%,89.69%,91.94%,2024
33,V6,5.0,90.7%,95.34%,65.07%,95.03%,2024
34,V6,5.0,90.0%,94.29%,73.05%,89.72%,2024
35,V6,5.0,90.2%,93.75%,68.11%,94.80%,2024
36,V6,5.0,89.0%,91.63%,69.19%,94.71%,2024
37,V6,5.0,90.8%,94.86%,70.05%,93.58%,2023
38,V6,5.0,89.9%,94.76%,68.29%,91.22%,2023
39,V6,5.0,86.6%,89.83%,67.90%,89.91%,2023
40,V6,5.0,89.6%,92.62%,67.05%,95.75%,2023
41,V6,5.0,90.0%,92.71%,80.00%,89.58%,2023
42,V6,5.0,83.2%,88.24%,73.67%,76.85%,2023
43,V6,5.0,88.3%,91.26%,69.35%,92.51%,2023
44,V6,5.0,86.3%,89.20%,77.97%,84.40%,2023
45,V6,5.0,89.9%,94.56%,77.42%,86.34%,2023
46,V6,5.0,89.1%,92.08%,71.50%,92.47%,2023
47,V6,5.0,88.8%,91.75%,75.02%,90.13%,2023
48,V6,5.0,91.3%,94.75%,73.80%,93.34%,2023
49,V6,5.0,86.3%,88.97%,73.07%,87.92%,2023
50,V6,5.0,88.1%,90.07%,80.56%,88.09%,2023
51,V6,5.0,88.8%,92.21%,72.63%,90.19%,2023
52,V6,5.0,91.3%,93.37%,75.87%,95.55%,2023
53,V6,5.0,89.0%,91.13%,72.27%,93.96%,2022
54,V6,5.0,88.1%,89.93%,88.97%,83.05%,2022
55,V6,5.0,88.60%,92.78%,75.23%,86.53%,2022
56,V6,5.0,85.00%,89.04%,70.26%,84.00%,2022
57,V6,5.0,86.80%,89.85%,72.65%,87.98%,2022
58,V6,5.0,88.6%,92.27%,66.75%,92.97%,2022
59,V6,1.0,39.9%,38.45%,61.46%,30.26%,2022
60,V6,5.0,88.20%,89.48%,74.18%,93.38%,2022
61,V6,3.0,71.3%,70.40%,59.07%,80.95%,2022
62,V6,5.0,87.3%,88.18%,77.15%,91.44%,2022
63,V6,5.0,83.3%,86.51%,67.32%,85.24%,2022
64,V6,5.0,86.1%,89.32%,73.19%,85.98%,2022
65,V6,4.0,79.5%,80.26%,69.23%,83.92%,2022
66,V6,5.0,83.1%,85.28%,77.42%,81.44%,2022
67,V6,5.0,85.7%,89.49%,76.81%,82.01%,2022
68,V5,6.0,94.6%,97.01%,81.37%,96.43%,2021
69,V5,4.0,82.4%,86.67%,68.63%,75.99%,2021
70,V5,5.0,87.8%,85.48%,86.53%,100.00%,2021
71,V5,5.0,90.5%,91.33%,77.20%,105.73%,2021
72,V5,5.0,86.8%,88.16%,67.55%,100.00%,2021
73,V5,5.0,87.3%,88.89%,70.71%,96.25%,2021
74,V5,5.0,87.8%,89.72%,72.21%,94.28%,2021
75,V5,5.0,90.7%,93.42%,73.63%,95.13%,2021
76,V5,5.0,89.9%,94.06%,70.83%,89.38%,2021
77,V5,5.0,91.5%,93.84%,72.84%,99.01%,2021
78,V5,5.0,88.2%,89.55%,69.91%,100.00%,2021
79,V5,5.0,92.4%,96.06%,70.54%,97.42%,2021
80,V5,5.0,90.3%,92.08%,74.83%,97.34%,2021
81,V5,5.0,85.3%,85.85%,70.36%,97.73%,2021
82,V5,5.0,91.9%,95.18%,72.19%,96.17%,2021
83,V5,5.0,84.7%,85.30%,68.41%,98.08%,2021
