variant_id,version,airbag_supplier,belt_grade_row1,belt_grade_row2,belt_supplier,cfg_active_bonnet,cfg_adb,cfg_aeb_c2c,cfg_aeb_ped,cfg_aeb_tw,cfg_belt_loadlimiter,cfg_belt_pretensioner,cfg_belt_reminder_driver,cfg_belt_reminder_passenger,cfg_bsd,cfg_center_airbag,cfg_curtain_airbag,cfg_dms,cfg_dow,cfg_ecall,cfg_elk,cfg_esc,cfg_front_airbag,cfg_isls,cfg_isofix,cfg_knee_airbag,cfg_ldw,cfg_lka,cfg_rcta,cfg_sas,cfg_seat_monitor,cfg_side_airbag,cfg_tsr,curb_weight_kg,displacement_ml,feature_source,gross_weight_kg,headrest_type,height_mm,length_mm,price_10k,seat_model,seat_supplier,side_airbag_supplier,test_year,vehicle_class_raw,width_mm
1,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,0,2161.0,,late_seat_matrix,,,1610.0,4663.0,22.99,,,,2025,SUV,1860.0
2,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,1,1962.0,,late_seat_matrix,,,1485.0,4921.0,16.98,,,,2025,轿车,1890.0
3,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,0,,,late_seat_matrix,,,,,,,,,2025,SUV,
4,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,1,2210.0,,late_seat_matrix,,,1620.0,4830.0,19.98,,,,2024,SUV,1925.0
5,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,0,2739.0,,late_seat_matrix,,,1755.0,4688.0,29.99,,,,2024,MPV,1995.0
6,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,1,2205.0,,late_seat_matrix,,,1440.0,4997.0,29.99,,,,2024,轿车,1963.0
7,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,1,2246.0,,late_seat_matrix,,,1486.0,5160.0,39.98,,,,2024,轿车,1987.0
8,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,1,2215.0,,late_seat_matrix,,,1698.0,4955.0,22.98,,,,2024,SUV,1975.0
9,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,0,,1,1,1,0,1,1,0,,1,1,1,1885.0,,late_seat_matrix,,,1616.0,4828.0,20.69,,,,2024,SUV,1930.0
10,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,1,,,late_seat_matrix,,,,,,,,,2024,轿车,
11,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,1,2278.0,,late_seat_matrix,,,1665.0,5045.0,22.99,,,,2024,SUV,1996.0
12,V7,,,,,0,1,1,1,1,1,1,1,,1,0,1,,,1,,1,1,,1,0,1,1,,1,1,1,,2634.0,2993.0,late_seat_matrix,,,1924.0,5440.0,30.18,,,,2024,多用途货车,1991.0
13,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,1,2345.0,1496.0,late_seat_matrix,,,1735.0,4925.0,27.98,,,,2024,SUV,1960.0
14,V7,,,,,,,,,,1,1,1,,1,1,1,1,1,,1,,1,1,1,0,1,1,1,,1,1,0,1700.0,1984.0,late_seat_matrix,,,1682.0,4735.0,24.68,,,,2024,SUV,1859.0
15,V6,,,,,0,1,1,1,1,1,1,1,,1,0,1,,,1,,1,1,,1,0,1,1,,1,1,1,,2010.0,,late_seat_matrix,,,1474.0,4917.0,26.98,,,,2024,中大型,1963.0
16,V6,,,,,0,0,1,1,1,1,1,1,,1,0,1,,,1,,1,1,,1,0,1,1,,1,1,1,,2960.0,,late_seat_matrix,,,1940.0,5316.0,43.99,,,,2024,MPV,1998.0
17,V6,,,,,0,0,1,1,1,1,1,1,,1,0,1,,,1,,1,1,,1,0,1,1,,1,1,1,,2730.0,,late_seat_matrix,,,1900.0,5045.0,37.58,,,,2024,MPV,1960.0
18,V6,,,,,0,1,1,1,1,1,1,1,,1,0,1,,,1,,1,1,,1,0,1,1,,1,1,1,,2830.0,,late_seat_matrix,,,1856.0,5209.0,50.0,,,,2024,MPV,2024.0
19,V6,,,,,0,0,1,1,1,1,1,1,,1,0,1,,,1,,1,1,,1,0,1,1,,1,1,1,,1949.0,,late_seat_matrix,,,1680.0,4739.0,14.88,,,,2024,SUV,1900.0
20,V6,,,,,0,0,1,1,1,1,1,1,,1,0,1,,,1,,1,1,,1,0,1,1,,1,1,1,,1975.0,,late_seat_matrix,,,1650.0,4690.0,19.98,,,,2024,SUV,1936.0
21,V6,,,,,0,0,1,1,1,1,1,1,,1,1,1,,,1,,1,1,,1,1,1,1,,1,1,1,,,,late_seat_matrix,,,,,,,,,2024,轿车,
