约束,fold,test,scope,n,MAE,RMSE,skill_MAE,skill_RMSE
无约束,F1,V3,全部 item,2475,0.1539,0.293,0.1943,0.0133
无约束,F1,V3,共有子集,1612,0.0742,0.1383,0.2699,0.2351
无约束,F1,V3,C 类核心,1362,0.2574,0.3852,0.0672,-0.1775
无约束,F2,V4,全部 item,2108,0.0921,0.1689,0.3716,0.3254
无约束,F2,V4,共有子集,2102,0.0914,0.1678,0.3699,0.325
无约束,F2,V4,C 类核心,1158,0.1442,0.2071,0.3434,0.2599
无约束,F3,V5,全部 item,2226,0.0963,0.1751,0.0859,0.1576
无约束,F3,V5,共有子集,2022,0.0941,0.1696,0.1147,0.1717
无约束,F3,V5,C 类核心,1210,0.1364,0.2008,0.1799,0.1344
无约束,F4,V6,全部 item,1478,0.1872,0.2561,-1.2518,-0.5342
无约束,F4,V6,共有子集,561,0.1578,0.2479,-1.3111,-0.6781
无约束,F4,V6,C 类核心,316,0.2221,0.3033,-0.9293,-0.7444
无约束,F5,V7,全部 item,546,0.0763,0.1502,-0.2612,0.0285
无约束,F5,V7,共有子集,403,0.0562,0.1152,-0.0367,0.0995
无约束,F5,V7,C 类核心,104,0.0842,0.1382,0.1512,0.11
有约束,F1,V3,全部 item,2475,0.1552,0.2945,0.1872,0.0084
有约束,F1,V3,共有子集,1612,0.0752,0.1401,0.2602,0.2254
有约束,F1,V3,C 类核心,1362,0.2597,0.3875,0.0587,-0.1846
有约束,F2,V4,全部 item,2108,0.0932,0.1675,0.364,0.3307
有约束,F2,V4,共有子集,2102,0.0924,0.1661,0.363,0.3318
有约束,F2,V4,C 类核心,1158,0.144,0.2043,0.3439,0.2698
有约束,F3,V5,全部 item,2226,0.0964,0.1758,0.0847,0.1544
有约束,F3,V5,共有子集,2022,0.0948,0.17,0.1083,0.1698
有约束,F3,V5,C 类核心,1210,0.1361,0.2011,0.1817,0.133
有约束,F4,V6,全部 item,1478,0.1903,0.2546,-1.2891,-0.5251
有约束,F4,V6,共有子集,561,0.1836,0.2687,-1.6891,-0.8188
有约束,F4,V6,C 类核心,316,0.2547,0.3325,-1.2124,-0.9122
有约束,F5,V7,全部 item,546,0.076,0.1494,-0.2566,0.0336
有约束,F5,V7,共有子集,403,0.0573,0.1149,-0.0576,0.1019
有约束,F5,V7,C 类核心,104,0.0853,0.1342,0.1397,0.1358
