约束,fold,test,scope,n,MAE,RMSE,skill_MAE,skill_RMSE
无约束,F1,V3,全部 item,2475,0.1562,0.2942,0.1821,0.0093
无约束,F1,V3,共有子集,1612,0.0761,0.1389,0.2521,0.2319
无约束,F1,V3,C 类核心,1362,0.2607,0.387,0.0552,-0.1831
无约束,F2,V4,全部 item,2108,0.0897,0.1673,0.3876,0.3316
无约束,F2,V4,共有子集,2102,0.0883,0.1637,0.3909,0.3415
无约束,F2,V4,C 类核心,1158,0.1391,0.201,0.3663,0.2816
无约束,F3,V5,全部 item,2226,0.0971,0.1761,0.0783,0.1527
无约束,F3,V5,共有子集,2022,0.096,0.1693,0.0972,0.1733
无约束,F3,V5,C 类核心,1210,0.1353,0.2029,0.1866,0.1255
无约束,F4,V6,全部 item,1478,0.1449,0.216,-0.7428,-0.2937
无约束,F4,V6,共有子集,561,0.1587,0.2427,-1.3241,-0.6427
无约束,F4,V6,C 类核心,316,0.2277,0.3016,-0.9774,-0.7349
无约束,F5,V7,全部 item,546,0.0851,0.1519,-0.4067,0.0178
无约束,F5,V7,共有子集,403,0.0682,0.1186,-0.2585,0.0729
无约束,F5,V7,C 类核心,104,0.1049,0.1464,-0.0573,0.0572
有约束,F1,V3,全部 item,2475,0.1545,0.2943,0.1912,0.0091
有约束,F1,V3,共有子集,1612,0.0741,0.1388,0.2712,0.2326
有约束,F1,V3,C 类核心,1362,0.2597,0.3871,0.0588,-0.1835
有约束,F2,V4,全部 item,2108,0.0903,0.167,0.3838,0.3328
有约束,F2,V4,共有子集,2102,0.0889,0.1634,0.3869,0.3425
有约束,F2,V4,C 类核心,1158,0.1394,0.2005,0.365,0.2833
有约束,F3,V5,全部 item,2226,0.0982,0.1758,0.0679,0.1544
有约束,F3,V5,共有子集,2022,0.097,0.1696,0.0871,0.1718
有约束,F3,V5,C 类核心,1210,0.135,0.2016,0.1885,0.1308
有约束,F4,V6,全部 item,1478,0.1744,0.2303,-1.0977,-0.3791
有约束,F4,V6,共有子集,561,0.1758,0.2472,-1.5745,-0.673
有约束,F4,V6,C 类核心,316,0.2423,0.3087,-1.1047,-0.7758
有约束,F5,V7,全部 item,546,0.0865,0.154,-0.4297,0.0041
有约束,F5,V7,共有子集,403,0.0719,0.1219,-0.3277,0.0472
有约束,F5,V7,C 类核心,104,0.1125,0.1505,-0.1339,0.0306
