fold,train,test,model,scope,n_shared_item,n_new_item,stratum,level,n,MAE,RMSE,MAE_const1,RMSE_const1,MAE_mean,RMSE_mean,MAE_partial,n_partial,full_score_rate,skill_MAE,skill_RMSE
F1,V1+V2,V3,B0_mean,全部 item,13,7,总体,B0_mean,2475,0.22394488423663153,0.29918749231604974,0.19096929292929293,0.3530701129329197,0.23615169929599017,0.2969667217122999,0.3174576408867398,1054,0.5741414141414142,-0.17267483584152932,-0.007478180016080582
F1,V1+V2,V3,B0_mean,共有 item 子集,13,7,总体,B0_mean,1612,0.1582003777671051,0.18839621280778804,0.10168827543424316,0.20745054232854382,0.1350524936272005,0.1808182019366868,0.16465318518209004,579,0.640818858560794,-0.5557386246500517,-0.04190955772115612
F1,V1+V2,V3,B1_item,全部 item,13,7,总体,B1_item,2475,0.1780448791326841,0.2878658799550849,0.19096929292929293,0.3530701129329197,0.23615169929599017,0.2969667217122999,0.3149440603991297,1054,0.5741414141414142,0.0676779685276111,0.030645998665237095
F1,V1+V2,V3,B1_item,共有 item 子集,13,7,总体,B1_item,1612,0.117227140645654,0.1676985938508119,0.10168827543424316,0.20745054232854382,0.1350524936272005,0.1808182019366868,0.16880792681637824,579,0.640818858560794,-0.15280881837217364,0.07255689939040932
F1,V1+V2,V3,B2_gbdt,全部 item,13,7,总体,B2_gbdt,2475,0.15619286536942467,0.29419985328265563,0.19096929292929293,0.3530701129329197,0.23615169929599017,0.2969667217122999,0.33169291617619856,1054,0.5741414141414142,0.18210481395427458,0.009317099282002306
F1,V1+V2,V3,B2_gbdt,共有 item 子集,13,7,总体,B2_gbdt,1612,0.07605318906731093,0.13889450364370087,0.10168827543424316,0.20745054232854382,0.1350524936272005,0.1808182019366868,0.15988741172622542,579,0.640818858560794,0.25209480893900293,0.23185552031794587
F2,V1+V2+V3,V4,B0_mean,全部 item,20,1,总体,B0_mean,2108,0.19662754576634822,0.25176900613097064,0.1465163662239089,0.29002565012030224,0.18570083674193186,0.25029548968418386,0.23027102877323075,854,0.594876660341556,-0.34201762461033547,-0.005887107469040087
F2,V1+V2+V3,V4,B0_mean,共有 item 子集,20,1,总体,B0_mean,2102,0.19575792592444352,0.25019560674996066,0.14500784966698385,0.2877515961544586,0.1841549482573346,0.24854316450949934,0.22835348159204877,848,0.5965746907706946,-0.3499815794386938,-0.006648512115480676
F2,V1+V2+V3,V4,B1_item,全部 item,20,1,总体,B1_item,2108,0.13421318311184932,0.2155629172587527,0.1465163662239089,0.29002565012030224,0.18570083674193186,0.25029548968418386,0.21646004067929647,854,0.594876660341556,0.08397139124551889,0.13876627369216987
F2,V1+V2+V3,V4,B1_item,共有 item 子集,20,1,总体,B1_item,2102,0.13327407144395717,0.2138914987852775,0.14500784966698385,0.2877515961544586,0.1841549482573346,0.24854316450949934,0.21471413079662596,848,0.5965746907706946,0.08091822787506853,0.13941910570184868
F2,V1+V2+V3,V4,B2_gbdt,全部 item,20,1,总体,B2_gbdt,2108,0.0897242546446784,0.16729975205278044,0.1465163662239089,0.29002565012030224,0.18570083674193186,0.25029548968418386,0.17648716498067207,854,0.594876660341556,0.38761616222750017,0.331591023618225
F2,V1+V2+V3,V4,B2_gbdt,共有 item 子集,20,1,总体,B2_gbdt,2102,0.0883199264625966,0.16366769809665963,0.14500784966698385,0.2877515961544586,0.1841549482573346,0.24854316450949934,0.1736200418949174,848,0.5965746907706946,0.3909300312677779,0.3414918554704238
F3,V1+V2+V3+V4,V5,B0_mean,全部 item,21,2,总体,B0_mean,2226,0.17292239976888887,0.21637883670471741,0.10531116352201257,0.23304783016942177,0.14303781651381325,0.20789624812467294,0.18666523278033526,794,0.6433063791554358,-0.6420139516618666,-0.040802028206673446
F3,V1+V2+V3+V4,V5,B0_mean,共有 item 子集,21,2,总体,B0_mean,2022,0.16999955905073538,0.21309305047640056,0.10628815529179031,0.23070140126202768,0.1416397328692004,0.20475830774093481,0.1779322254862553,752,0.6280909990108803,-0.5994214838336378,-0.04070527260857748
F3,V1+V2+V3+V4,V5,B1_item,全部 item,21,2,总体,B1_item,2226,0.1453741108589686,0.22709242420491166,0.10531116352201257,0.23304783016942177,0.14303781651381325,0.20789624812467294,0.22652836254406267,794,0.6433063791554358,-0.3804245057892832,-0.09233536561336586
F3,V1+V2+V3+V4,V5,B1_item,共有 item 子集,21,2,总体,B1_item,2022,0.142647748925902,0.22625161601824556,0.10628815529179031,0.23070140126202768,0.1416397328692004,0.20475830774093481,0.21950533726804758,752,0.6280909990108803,-0.342085094376646,-0.10496916347103524
