version,feature,criterion,n_5star,n_below,p5,pb,lift,class
V1,cfg_side_airbag,≥1,35,53,1.0,0.1887,0.8113,A 强准则
V5,cfg_curtain_airbag,≥1,83,19,0.988,0.2632,0.7248,A 强准则
V2,cfg_side_airbag,≥1,52,32,0.9423,0.2188,0.7236,A 强准则
V2,cfg_belt_reminder_passenger,≥1,52,32,0.9038,0.2812,0.6226,A 强准则
V3,cfg_side_airbag,≥1,105,19,0.9619,0.3684,0.5935,A 强准则
V2,cfg_isofix,≥1,52,32,0.9423,0.375,0.5673,A 强准则
V4,cfg_side_airbag,≥1,79,27,0.9747,0.4444,0.5302,A 强准则
V3,cfg_seat_monitor,≥1,105,19,0.981,0.4737,0.5073,A 强准则
V1,cfg_belt_loadlimiter,≥1,35,53,1.0,0.6226,0.3774,A 强准则
V3,cfg_belt_reminder_passenger,≥1,105,19,0.9905,0.6316,0.3589,A 强准则
V1,cfg_belt_pretensioner,≥1,35,53,0.9714,0.6415,0.3299,A 强准则
V2,cfg_belt_pretensioner,≥1,52,32,1.0,0.7188,0.2812,A 强准则
V4,cfg_seat_monitor,≥1,79,27,0.962,0.7037,0.2583,A 强准则
V5,cfg_side_airbag,≥1,83,19,0.988,0.7368,0.2511,A 强准则
V2,cfg_belt_loadlimiter,≥1,52,32,1.0,0.7812,0.2188,A 强准则
V3,cfg_belt_pretensioner,≥1,105,19,1.0,0.7895,0.2105,A 强准则
V3,belt_grade_row1,≥2,105,19,1.0,0.7895,0.2105,A 强准则
V4,cfg_belt_reminder_passenger,≥1,79,27,0.9873,0.7778,0.2096,A 强准则
V3,cfg_isofix,≥1,105,19,0.9905,0.7895,0.201,A 强准则
V1,cfg_belt_reminder_driver,≥1,35,53,1.0,0.8113,0.1887,B 行业基线
V4,cfg_belt_pretensioner,≥1,79,27,1.0,0.8148,0.1852,B 行业基线
V4,cfg_belt_loadlimiter,≥1,79,27,1.0,0.8148,0.1852,B 行业基线
V3,cfg_belt_loadlimiter,≥1,105,19,1.0,0.8421,0.1579,B 行业基线
V5,cfg_belt_reminder_passenger,≥1,83,19,1.0,0.8421,0.1579,B 行业基线
V4,belt_grade_row1,≥2,79,27,1.0,0.8519,0.1481,B 行业基线
V5,cfg_belt_pretensioner,≥1,83,19,1.0,0.8947,0.1053,B 行业基线
V5,belt_grade_row1,≥2,81,19,1.0,0.8947,0.1053,B 行业基线
V5,cfg_seat_monitor,≥1,83,19,0.9398,0.8421,0.0977,B 行业基线
V1,cfg_front_airbag,≥1,35,53,1.0,0.9245,0.0755,B 行业基线
V2,cfg_belt_reminder_driver,≥1,52,32,0.9808,0.9062,0.0745,B 行业基线
V5,cfg_belt_loadlimiter,≥1,83,19,1.0,0.9474,0.0526,B 行业基线
V4,cfg_isofix,≥1,79,27,1.0,0.963,0.037,B 行业基线
V2,cfg_front_airbag,≥1,52,32,1.0,1.0,0.0,B 行业基线
V3,cfg_front_airbag,≥1,105,19,1.0,1.0,0.0,B 行业基线
V3,cfg_belt_reminder_driver,≥1,105,19,1.0,1.0,0.0,B 行业基线
V4,cfg_front_airbag,≥1,79,27,1.0,1.0,0.0,B 行业基线
V4,cfg_belt_reminder_driver,≥1,79,27,1.0,1.0,0.0,B 行业基线
V5,cfg_front_airbag,≥1,83,19,1.0,1.0,0.0,B 行业基线
V5,cfg_belt_reminder_driver,≥1,83,19,1.0,1.0,0.0,B 行业基线
V5,cfg_isofix,≥1,83,19,1.0,1.0,0.0,B 行业基线
V2,cfg_seat_monitor,≥1,52,32,0.8462,0.1562,0.6899,C 需建模
V1,cfg_belt_reminder_passenger,≥1,35,53,0.8,0.1321,0.6679,C 需建模
V3,cfg_curtain_airbag,≥1,105,19,0.7619,0.1579,0.604,C 需建模
V1,cfg_curtain_airbag,≥1,35,53,0.6571,0.0755,0.5817,C 需建模
V2,cfg_curtain_airbag,≥1,52,32,0.7308,0.1562,0.5745,C 需建模
V4,cfg_curtain_airbag,≥1,79,27,0.8608,0.3333,0.5274,C 需建模
V5,belt_grade_row2,≥2,81,19,0.8148,0.3158,0.499,C 需建模
V4,belt_grade_row2,≥2,79,26,0.5696,0.0769,0.4927,C 需建模
V1,cfg_isofix,≥1,35,53,0.4857,0.1887,0.297,C 需建模
V5,cfg_knee_airbag,≥1,81,19,0.2593,0.0,0.2593,C 需建模
V3,cfg_knee_airbag,≥1,105,18,0.1429,0.0,0.1429,C 需建模
V4,cfg_knee_airbag,≥1,79,27,0.1646,0.0741,0.0905,C 需建模
V3,belt_grade_row2,≥2,105,18,0.2381,0.1667,0.0714,C 需建模
V1,cfg_seat_monitor,≥1,35,53,0.0857,0.0377,0.048,C 需建模
