version,item_id,scenario,region,n_5star,n_below,p5_full,pb_full,lift,star5_y_p05,star5_y_mean,class
V4,occ.side_mdb.row1.chest,side_mdb,chest,78,27,0.9615,0.4074,0.5541,1.0,0.9962,A 强准则
V5,occ.side_mdb.row2_adult.head,side_mdb,head,83,19,0.988,0.5789,0.409,1.0,0.9912,A 强准则
V1,occ.frontal_frb100.row1.thigh,frontal_frb100,thigh,35,53,0.9143,0.5472,0.3671,0.8975,0.9797,A 强准则
V3,occ.frontal_odb40.row1.headneck,frontal_odb40,headneck,105,19,0.9905,0.6316,0.3589,1.0,0.9979,A 强准则
V3,occ.frontal_odb40.row1.thigh,frontal_odb40,thigh,105,19,0.9619,0.6316,0.3303,1.0,0.9938,A 强准则
V1,occ.frontal_odb40.row1.thigh,frontal_odb40,thigh,35,53,0.9714,0.6604,0.3111,1.0,0.997,A 强准则
V1,occ.frontal_frb100.row1.head,frontal_frb100,head,35,53,0.9714,0.6792,0.2922,1.0,0.9918,A 强准则
V5,occ.side_mdb.row1.chest,side_mdb,chest,83,19,0.9157,0.6316,0.2841,0.8613,0.9786,A 强准则
V5,occ.side_mdb.row2_adult.abdomen,side_mdb,abdomen,83,19,0.9157,0.6316,0.2841,0.8608,0.976,A 强准则
V4,occ.frontal_odb40.row1.headneck,frontal_odb40,headneck,79,27,0.9873,0.7037,0.2836,1.0,0.9968,A 强准则
V4,occ.frontal_frb100.row1.thigh,frontal_frb100,thigh,79,27,0.9494,0.6667,0.2827,0.999,0.9957,A 强准则
V4,occ.frontal_odb40.row1.thigh,frontal_odb40,thigh,79,27,0.9747,0.7037,0.271,1.0,0.9985,A 强准则
V1,occ.frontal_frb100.row1.neck,frontal_frb100,neck,35,53,0.9429,0.6981,0.2447,0.964,0.9927,A 强准则
V5,occ.frontal_odb40.row1.thigh,frontal_odb40,thigh,83,19,0.9759,0.7368,0.2391,1.0,0.991,A 强准则
V2,occ.frontal_odb40.row1.headneck,frontal_odb40,headneck,51,32,1.0,0.7812,0.2188,1.0,1.0,A 强准则
V4,occ.frontal_frb100.row1.head,frontal_frb100,head,79,27,0.9873,0.7778,0.2096,1.0,0.9994,A 强准则
V3,occ.frontal_frb100.row1.head,frontal_frb100,head,105,19,0.9905,0.7895,0.201,1.0,0.9977,A 强准则
V2,occ.frontal_frb100.row1.head,frontal_frb100,head,52,32,0.9808,0.7812,0.1995,1.0,0.9965,B 行业基线
V1,occ.side_mdb.row1.pelvis,side_mdb,pelvis,35,53,0.9714,0.7736,0.1978,1.0,0.9964,B 行业基线
V3,occ.frontal_frb100.row1.thigh,frontal_frb100,thigh,105,19,0.9238,0.7368,0.187,0.961,0.9941,B 行业基线
V3,occ.side_mdb.row1.abdomen,side_mdb,abdomen,105,19,0.9238,0.7368,0.187,0.9375,0.992,B 行业基线
V4,occ.side_mdb.row1.abdomen,side_mdb,abdomen,78,27,1.0,0.8148,0.1852,1.0,1.0,B 行业基线
V2,occ.frontal_odb40.row1.thigh,frontal_odb40,thigh,51,32,0.902,0.7188,0.1832,0.895,0.9835,B 行业基线
V5,occ.frontal_frb100.row1.thigh,frontal_frb100,thigh,82,19,0.9146,0.7368,0.1778,0.9474,0.9842,B 行业基线
V2,occ.side_mdb.row1.pelvis,side_mdb,pelvis,52,32,0.9808,0.8125,0.1683,1.0,0.9991,B 行业基线
V3,occ.side_mdb.row1.pelvis,side_mdb,pelvis,105,19,0.9905,0.8421,0.1484,1.0,0.9997,B 行业基线
V5,occ.frontal_odb40.row1.headneck,frontal_odb40,headneck,83,19,0.9157,0.7895,0.1262,0.9318,0.9797,B 行业基线
V2,occ.side_mdb.row1.head,side_mdb,head,52,32,1.0,0.875,0.125,1.0,1.0,B 行业基线
V1,occ.frontal_odb40.row1.headneck,frontal_odb40,headneck,35,53,1.0,0.8868,0.1132,1.0,1.0,B 行业基线
V1,occ.side_mdb.row1.head,side_mdb,head,35,53,1.0,0.8868,0.1132,1.0,1.0,B 行业基线
V4,occ.side_mdb.row1.head,side_mdb,head,78,27,1.0,0.8889,0.1111,1.0,1.0,B 行业基线
V4,occ.frontal_frb100.row1.neck,frontal_frb100,neck,79,27,0.9747,0.8889,0.0858,1.0,0.9961,B 行业基线
V3,occ.side_mdb.row2_adult.pelvis,side_mdb,pelvis,105,19,0.9143,0.8421,0.0722,0.752,0.9719,B 行业基线
V2,occ.frontal_frb100.row1.neck,frontal_frb100,neck,52,32,0.9423,0.875,0.0673,0.9752,0.9819,B 行业基线
V4,occ.side_mdb.row2_adult.head,side_mdb,head,78,27,0.9872,0.9259,0.0613,1.0,0.9953,B 行业基线
V3,occ.side_mdb.row1.head,side_mdb,head,105,19,1.0,0.9474,0.0526,1.0,1.0,B 行业基线
V3,occ.side_mdb.row2_adult.head,side_mdb,head,105,19,0.981,0.9474,0.0336,1.0,0.9893,B 行业基线
V5,occ.frontal_frb100.row1.head,frontal_frb100,head,82,19,0.9756,0.9474,0.0282,1.0,0.9985,B 行业基线
V5,occ.frontal_frb100.row1.neck,frontal_frb100,neck,82,19,0.9756,0.9474,0.0282,1.0,0.9921,B 行业基线
V4,occ.frontal_frb100.row2_adult.head,frontal_frb100,head,75,25,0.9867,0.96,0.0267,1.0,0.9867,B 行业基线
V4,occ.side_mdb.row2_adult.pelvis,side_mdb,pelvis,78,27,0.9744,0.963,0.0114,1.0,0.9881,B 行业基线
V4,occ.side_mdb.row1.pelvis,side_mdb,pelvis,78,27,1.0,1.0,0.0,1.0,1.0,B 行业基线
V5,occ.frontal_frb100.row2_adult.head,frontal_frb100,head,76,18,1.0,1.0,0.0,1.0,1.0,B 行业基线
V5,occ.side_mdb.row1.head,side_mdb,head,83,19,1.0,1.0,0.0,1.0,1.0,B 行业基线
