目标,版本,配置,n,必要率,平均得分率损失
五星门槛,V7,cfg_front_airbag,13,0.0,0.0
五星门槛,V5,cfg_front_airbag,91,0.0,0.0
五星门槛,V6,cfg_front_airbag,48,0.0,0.0
五星门槛,V4,cfg_front_airbag,89,0.0,0.0
五星门槛,V3,cfg_front_airbag,99,0.0,0.0
五星门槛,V2,cfg_front_airbag,61,0.0,0.0
五星门槛,V1,cfg_front_airbag,45,0.0,0.0
五星门槛,V7,cfg_side_airbag,13,0.3077,0.0856
五星门槛,V5,cfg_side_airbag,90,0.1889,0.0383
五星门槛,V6,cfg_side_airbag,48,0.4583,0.0797
五星门槛,V4,cfg_side_airbag,84,0.1071,0.034
五星门槛,V3,cfg_side_airbag,95,0.4526,0.0391
五星门槛,V2,cfg_side_airbag,53,0.2642,0.056
五星门槛,V1,cfg_side_airbag,40,0.25,0.0548
五星门槛,V7,cfg_curtain_airbag,13,0.0,0.0222
五星门槛,V5,cfg_curtain_airbag,85,0.0471,0.0214
五星门槛,V6,cfg_curtain_airbag,48,0.0,0.0218
五星门槛,V4,cfg_curtain_airbag,73,0.0,0.0129
五星门槛,V3,cfg_curtain_airbag,74,0.0135,0.0103
五星门槛,V2,cfg_curtain_airbag,40,0.0,0.0109
五星门槛,V1,cfg_curtain_airbag,26,0.0,0.0117
五星门槛,V5,cfg_knee_airbag,21,0.0,0.0027
五星门槛,V4,cfg_knee_airbag,13,0.0,0.0005
五星门槛,V6,cfg_knee_airbag,8,0.0,0.0017
五星门槛,V3,cfg_knee_airbag,15,0.0,-0.0002
五星门槛,V7,cfg_center_airbag,13,0.0,0.0027
五星门槛,V7,cfg_belt_pretensioner,13,0.0,0.0124
五星门槛,V5,cfg_belt_pretensioner,91,0.0549,0.0108
五星门槛,V6,cfg_belt_pretensioner,48,0.0,0.0066
五星门槛,V4,cfg_belt_pretensioner,89,0.0674,0.0195
五星门槛,V3,cfg_belt_pretensioner,99,0.2323,0.0207
五星门槛,V2,cfg_belt_pretensioner,60,0.05,0.0083
五星门槛,V1,cfg_belt_pretensioner,44,0.0682,0.0093
五星门槛,V7,cfg_belt_loadlimiter,13,0.1538,0.0425
五星门槛,V5,cfg_belt_loadlimiter,91,0.2308,0.0451
五星门槛,V6,cfg_belt_loadlimiter,48,0.0417,0.0381
五星门槛,V4,cfg_belt_loadlimiter,89,0.2022,0.0461
五星门槛,V3,cfg_belt_loadlimiter,99,0.4848,0.0421
五星门槛,V2,cfg_belt_loadlimiter,61,0.3607,0.0641
五星门槛,V1,cfg_belt_loadlimiter,45,0.3778,0.0631
五星门槛,V7,cfg_belt_reminder_driver,13,0.1538,0.0221
五星门槛,V5,cfg_belt_reminder_driver,91,0.0659,0.0211
五星门槛,V6,cfg_belt_reminder_driver,48,0.0208,0.0192
五星门槛,V4,cfg_belt_reminder_driver,89,0.0562,0.0196
五星门槛,V3,cfg_belt_reminder_driver,99,0.3434,0.0294
五星门槛,V2,cfg_belt_reminder_driver,59,0.1695,0.0334
五星门槛,V1,cfg_belt_reminder_driver,45,0.2,0.0383
五星门槛,V5,cfg_belt_reminder_passenger,90,0.0333,0.0117
五星门槛,V4,cfg_belt_reminder_passenger,87,0.0115,0.0131
五星门槛,V3,cfg_belt_reminder_passenger,98,0.0918,0.015
五星门槛,V2,cfg_belt_reminder_passenger,51,0.0392,0.0185
五星门槛,V1,cfg_belt_reminder_passenger,30,0.0333,0.018
五星门槛,V7,cfg_isofix,13,0.0,0.0036
五星门槛,V5,cfg_isofix,91,0.011,0.0011
五星门槛,V6,cfg_isofix,48,0.0,0.0039
五星门槛,V4,cfg_isofix,89,0.0112,0.0027
五星门槛,V3,cfg_isofix,98,0.0306,0.005
五星门槛,V2,cfg_isofix,55,0.0364,0.0111
五星门槛,V1,cfg_isofix,22,0.0909,0.0101
五星门槛,V7,cfg_seat_monitor,13,0.0,0.0054
五星门槛,V5,cfg_seat_monitor,86,0.0116,0.006
五星门槛,V6,cfg_seat_monitor,48,0.0,0.0056
五星门槛,V4,cfg_seat_monitor,83,0.0,0.0069
五星门槛,V3,cfg_seat_monitor,97,0.0412,0.0086
五星门槛,V2,cfg_seat_monitor,47,0.0,0.0034
五星门槛,V5,belt_grade_row1,89,0.0,-0.0062
五星门槛,V4,belt_grade_row1,89,0.0,-0.0057
五星门槛,V3,belt_grade_row1,99,0.0,-0.0043
五星门槛,V5,belt_grade_row2,88,0.3977,0.0659
五星门槛,V4,belt_grade_row2,79,0.1013,0.0402
五星门槛,V3,belt_grade_row2,72,0.2361,0.0338
高余量,V7,cfg_front_airbag,11,0.0,0.0
高余量,V5,cfg_front_airbag,67,0.0,0.0
高余量,V6,cfg_front_airbag,42,0.0,0.0
高余量,V4,cfg_front_airbag,68,0.0,0.0
高余量,V3,cfg_front_airbag,31,0.0,0.0
高余量,V2,cfg_front_airbag,41,0.0,0.0
高余量,V1,cfg_front_airbag,37,0.0,0.0
高余量,V7,cfg_side_airbag,11,1.0,0.083
高余量,V5,cfg_side_airbag,66,0.5303,0.0384
高余量,V6,cfg_side_airbag,42,1.0,0.0822
高余量,V4,cfg_side_airbag,67,0.6269,0.0344
高余量,V3,cfg_side_airbag,31,0.871,0.0379
高余量,V2,cfg_side_airbag,41,0.8049,0.0538
高余量,V1,cfg_side_airbag,37,0.8919,0.0545
高余量,V7,cfg_curtain_airbag,11,0.1818,0.0236
高余量,V5,cfg_curtain_airbag,65,0.2462,0.0224
高余量,V6,cfg_curtain_airbag,42,0.2857,0.0228
高余量,V4,cfg_curtain_airbag,59,0.1186,0.0135
高余量,V3,cfg_curtain_airbag,24,0.3333,0.0148
高余量,V2,cfg_curtain_airbag,31,0.0645,0.0113
高余量,V1,cfg_curtain_airbag,23,0.1304,0.012
高余量,V5,cfg_knee_airbag,18,0.0,0.0029
高余量,V4,cfg_knee_airbag,11,0.0,0.0003
高余量,V6,cfg_knee_airbag,8,0.0,0.0017
高余量,V7,cfg_center_airbag,11,0.0909,0.0037
高余量,V7,cfg_belt_pretensioner,11,0.0909,0.0128
高余量,V5,cfg_belt_pretensioner,67,0.0746,0.01
高余量,V6,cfg_belt_pretensioner,42,0.1429,0.0075
高余量,V4,cfg_belt_pretensioner,68,0.3824,0.0176
高余量,V3,cfg_belt_pretensioner,31,0.3871,0.0127
高余量,V2,cfg_belt_pretensioner,41,0.0732,0.0077
高余量,V1,cfg_belt_pretensioner,36,0.25,0.008
高余量,V7,cfg_belt_loadlimiter,11,0.2727,0.0416
高余量,V5,cfg_belt_loadlimiter,67,0.7463,0.0452
高余量,V6,cfg_belt_loadlimiter,42,0.619,0.0387
高余量,V4,cfg_belt_loadlimiter,68,0.8971,0.0456
高余量,V3,cfg_belt_loadlimiter,31,0.9032,0.0442
高余量,V2,cfg_belt_loadlimiter,41,0.7805,0.0575
高余量,V1,cfg_belt_loadlimiter,37,0.8919,0.0593
高余量,V7,cfg_belt_reminder_driver,11,0.0909,0.0203
高余量,V5,cfg_belt_reminder_driver,67,0.2985,0.0226
高余量,V6,cfg_belt_reminder_driver,42,0.3095,0.02
高余量,V4,cfg_belt_reminder_driver,68,0.3382,0.0205
高余量,V3,cfg_belt_reminder_driver,31,0.7097,0.0319
高余量,V2,cfg_belt_reminder_driver,40,0.4,0.0333
高余量,V1,cfg_belt_reminder_driver,37,0.5676,0.0373
高余量,V5,cfg_belt_reminder_passenger,67,0.1343,0.0119
高余量,V4,cfg_belt_reminder_passenger,68,0.2206,0.0127
高余量,V3,cfg_belt_reminder_passenger,31,0.4839,0.0138
高余量,V2,cfg_belt_reminder_passenger,36,0.1389,0.0166
高余量,V1,cfg_belt_reminder_passenger,27,0.3333,0.0171
高余量,V7,cfg_isofix,11,0.0909,0.0034
高余量,V5,cfg_isofix,67,0.0448,0.0011
高余量,V6,cfg_isofix,42,0.119,0.0042
高余量,V4,cfg_isofix,68,0.0294,0.0021
高余量,V3,cfg_isofix,31,0.1613,0.0051
高余量,V2,cfg_isofix,39,0.1282,0.0093
高余量,V1,cfg_isofix,18,0.1667,0.0091
高余量,V7,cfg_seat_monitor,11,0.0909,0.0054
高余量,V5,cfg_seat_monitor,64,0.0625,0.0057
高余量,V6,cfg_seat_monitor,42,0.0714,0.0056
高余量,V4,cfg_seat_monitor,66,0.1818,0.0065
高余量,V3,cfg_seat_monitor,30,0.2667,0.0071
高余量,V2,cfg_seat_monitor,34,0.0294,0.0037
高余量,V5,belt_grade_row1,66,0.0,-0.0054
高余量,V4,belt_grade_row1,68,0.0,-0.0057
高余量,V3,belt_grade_row1,31,0.0,-0.0039
高余量,V5,belt_grade_row2,66,0.9848,0.0691
高余量,V4,belt_grade_row2,61,0.8033,0.042
高余量,V3,belt_grade_row2,31,0.9677,0.0418
