目标,版本,配置,n,必要率,平均得分率损失
五星门槛,V7,cfg_front_airbag,13,0.0,0.0002
五星门槛,V5,cfg_front_airbag,91,0.0,0.0005
五星门槛,V6,cfg_front_airbag,48,0.0,-0.0008
五星门槛,V4,cfg_front_airbag,89,0.0112,0.002
五星门槛,V3,cfg_front_airbag,100,0.04,0.0008
五星门槛,V2,cfg_front_airbag,63,0.127,0.0072
五星门槛,V1,cfg_front_airbag,47,0.1277,0.0083
五星门槛,V7,cfg_side_airbag,13,0.7692,0.1073
五星门槛,V5,cfg_side_airbag,90,0.1667,0.0356
五星门槛,V6,cfg_side_airbag,48,0.7708,0.0952
五星门槛,V4,cfg_side_airbag,84,0.0952,0.0314
五星门槛,V3,cfg_side_airbag,96,0.4792,0.0382
五星门槛,V2,cfg_side_airbag,55,0.2545,0.0499
五星门槛,V1,cfg_side_airbag,40,0.2,0.0506
五星门槛,V7,cfg_curtain_airbag,13,0.0,0.0234
五星门槛,V5,cfg_curtain_airbag,85,0.0941,0.0232
五星门槛,V6,cfg_curtain_airbag,48,0.0417,0.0262
五星门槛,V4,cfg_curtain_airbag,73,0.0137,0.0134
五星门槛,V3,cfg_curtain_airbag,74,0.027,0.0093
五星门槛,V2,cfg_curtain_airbag,42,0.0238,0.0117
五星门槛,V1,cfg_curtain_airbag,26,0.0385,0.0151
五星门槛,V5,cfg_knee_airbag,20,0.0,0.0035
五星门槛,V4,cfg_knee_airbag,13,0.0,0.0011
五星门槛,V6,cfg_knee_airbag,8,0.0,0.0029
五星门槛,V3,cfg_knee_airbag,15,0.0,0.0016
五星门槛,V7,cfg_center_airbag,13,0.0,0.0023
五星门槛,V7,cfg_belt_pretensioner,13,0.0,0.0092
五星门槛,V5,cfg_belt_pretensioner,91,0.1099,0.0185
五星门槛,V6,cfg_belt_pretensioner,48,0.0208,0.0131
五星门槛,V4,cfg_belt_pretensioner,89,0.1124,0.0255
五星门槛,V3,cfg_belt_pretensioner,100,0.4,0.029
五星门槛,V2,cfg_belt_pretensioner,62,0.0968,0.0192
五星门槛,V1,cfg_belt_pretensioner,46,0.1522,0.0195
五星门槛,V7,cfg_belt_loadlimiter,13,0.0769,0.0355
五星门槛,V5,cfg_belt_loadlimiter,91,0.2747,0.0498
五星门槛,V6,cfg_belt_loadlimiter,48,0.0208,0.0366
五星门槛,V4,cfg_belt_loadlimiter,89,0.2247,0.0483
五星门槛,V3,cfg_belt_loadlimiter,100,0.54,0.044
五星门槛,V2,cfg_belt_loadlimiter,63,0.3651,0.0618
五星门槛,V1,cfg_belt_loadlimiter,47,0.2979,0.0612
五星门槛,V7,cfg_belt_reminder_driver,13,0.0,0.0252
五星门槛,V5,cfg_belt_reminder_driver,91,0.0659,0.013
五星门槛,V6,cfg_belt_reminder_driver,48,0.0417,0.023
五星门槛,V4,cfg_belt_reminder_driver,89,0.0,0.0107
五星门槛,V3,cfg_belt_reminder_driver,100,0.2,0.0179
五星门槛,V2,cfg_belt_reminder_driver,61,0.1311,0.0207
五星门槛,V1,cfg_belt_reminder_driver,47,0.1489,0.025
五星门槛,V5,cfg_belt_reminder_passenger,90,0.0444,0.008
五星门槛,V4,cfg_belt_reminder_passenger,87,0.0,0.0097
五星门槛,V3,cfg_belt_reminder_passenger,98,0.1122,0.0139
五星门槛,V2,cfg_belt_reminder_passenger,51,0.0784,0.0187
五星门槛,V1,cfg_belt_reminder_passenger,30,0.0333,0.0174
五星门槛,V7,cfg_isofix,13,0.0,0.0035
五星门槛,V5,cfg_isofix,91,0.011,0.0009
五星门槛,V6,cfg_isofix,48,0.0,0.0019
五星门槛,V4,cfg_isofix,89,0.0,0.0033
五星门槛,V3,cfg_isofix,99,0.0303,0.0036
五星门槛,V2,cfg_isofix,56,0.0357,0.0093
五星门槛,V1,cfg_isofix,22,0.0455,0.0079
五星门槛,V7,cfg_seat_monitor,13,0.0,-0.001
五星门槛,V5,cfg_seat_monitor,86,0.0233,0.0011
五星门槛,V6,cfg_seat_monitor,48,0.0,-0.0003
五星门槛,V4,cfg_seat_monitor,83,0.0,0.0021
五星门槛,V3,cfg_seat_monitor,97,0.0515,0.0044
五星门槛,V2,cfg_seat_monitor,47,0.0,0.0025
五星门槛,V5,belt_grade_row1,89,0.0,-0.0029
五星门槛,V4,belt_grade_row1,89,0.0,-0.0008
五星门槛,V3,belt_grade_row1,100,0.0,-0.0022
五星门槛,V5,belt_grade_row2,88,0.3295,0.0664
五星门槛,V4,belt_grade_row2,79,0.1013,0.0397
五星门槛,V3,belt_grade_row2,73,0.1918,0.0325
高余量,V7,cfg_front_airbag,12,0.1667,0.0003
高余量,V5,cfg_front_airbag,70,0.0143,0.0006
高余量,V6,cfg_front_airbag,43,0.0233,-0.001
高余量,V4,cfg_front_airbag,67,0.0299,0.0014
高余量,V3,cfg_front_airbag,33,0.0909,-0.0007
高余量,V2,cfg_front_airbag,46,0.1304,0.0032
高余量,V1,cfg_front_airbag,34,0.1471,0.0041
高余量,V7,cfg_side_airbag,12,1.0,0.1106
高余量,V5,cfg_side_airbag,69,0.4928,0.0345
高余量,V6,cfg_side_airbag,43,1.0,0.0963
高余量,V4,cfg_side_airbag,65,0.6,0.0314
高余量,V3,cfg_side_airbag,33,0.7576,0.0356
高余量,V2,cfg_side_airbag,46,0.6522,0.0479
高余量,V1,cfg_side_airbag,34,0.8529,0.0494
高余量,V7,cfg_curtain_airbag,12,0.3333,0.0243
高余量,V5,cfg_curtain_airbag,68,0.2206,0.0235
高余量,V6,cfg_curtain_airbag,43,0.3953,0.0267
高余量,V4,cfg_curtain_airbag,57,0.2105,0.014
高余量,V3,cfg_curtain_airbag,26,0.3462,0.0117
高余量,V2,cfg_curtain_airbag,35,0.1143,0.0117
高余量,V1,cfg_curtain_airbag,22,0.0909,0.0155
高余量,V5,cfg_knee_airbag,19,0.0,0.0036
高余量,V4,cfg_knee_airbag,11,0.0,0.0009
高余量,V6,cfg_knee_airbag,8,0.0,0.0029
高余量,V7,cfg_center_airbag,12,0.0833,0.0024
高余量,V7,cfg_belt_pretensioner,12,0.1667,0.0096
高余量,V5,cfg_belt_pretensioner,70,0.2286,0.0181
高余量,V6,cfg_belt_pretensioner,43,0.1628,0.0132
高余量,V4,cfg_belt_pretensioner,67,0.4478,0.0236
高余量,V3,cfg_belt_pretensioner,33,0.6061,0.0248
高余量,V2,cfg_belt_pretensioner,46,0.2391,0.0178
高余量,V1,cfg_belt_pretensioner,33,0.2727,0.0182
高余量,V7,cfg_belt_loadlimiter,12,0.3333,0.0352
高余量,V5,cfg_belt_loadlimiter,70,0.7857,0.0503
高余量,V6,cfg_belt_loadlimiter,43,0.6047,0.0371
高余量,V4,cfg_belt_loadlimiter,67,0.9104,0.0489
高余量,V3,cfg_belt_loadlimiter,33,0.8485,0.0434
高余量,V2,cfg_belt_loadlimiter,46,0.8043,0.057
高余量,V1,cfg_belt_loadlimiter,34,0.9118,0.0572
高余量,V7,cfg_belt_reminder_driver,12,0.1667,0.0262
高余量,V5,cfg_belt_reminder_driver,70,0.1571,0.0127
高余量,V6,cfg_belt_reminder_driver,43,0.3721,0.0234
高余量,V4,cfg_belt_reminder_driver,67,0.209,0.0112
高余量,V3,cfg_belt_reminder_driver,33,0.5152,0.0183
高余量,V2,cfg_belt_reminder_driver,45,0.2222,0.0209
高余量,V1,cfg_belt_reminder_driver,34,0.4412,0.0231
高余量,V5,cfg_belt_reminder_passenger,70,0.1,0.0079
高余量,V4,cfg_belt_reminder_passenger,66,0.1515,0.0094
高余量,V3,cfg_belt_reminder_passenger,33,0.4242,0.0129
高余量,V2,cfg_belt_reminder_passenger,41,0.1463,0.0173
高余量,V1,cfg_belt_reminder_passenger,25,0.2,0.0161
高余量,V7,cfg_isofix,12,0.1667,0.0039
高余量,V5,cfg_isofix,70,0.0429,0.001
高余量,V6,cfg_isofix,43,0.093,0.0018
高余量,V4,cfg_isofix,67,0.0448,0.0034
高余量,V3,cfg_isofix,33,0.2727,0.0042
高余量,V2,cfg_isofix,44,0.1591,0.0089
高余量,V1,cfg_isofix,17,0.0588,0.007
高余量,V7,cfg_seat_monitor,12,0.0,-0.0009
高余量,V5,cfg_seat_monitor,68,0.0441,0.0011
高余量,V6,cfg_seat_monitor,43,0.0,-0.0003
高余量,V4,cfg_seat_monitor,64,0.0938,0.0021
高余量,V3,cfg_seat_monitor,32,0.125,0.0028
高余量,V2,cfg_seat_monitor,39,0.0769,0.0023
高余量,V5,belt_grade_row1,70,0.0143,-0.0022
高余量,V4,belt_grade_row1,67,0.0149,-0.0006
高余量,V3,belt_grade_row1,33,0.0303,-0.001
高余量,V5,belt_grade_row2,70,0.9857,0.0687
高余量,V4,belt_grade_row2,60,0.8167,0.0429
高余量,V3,belt_grade_row2,31,0.871,0.0399
