配置,五星车达成率序列,单调不减,反例
cfg_front_airbag,V1:100% → V2:100% → V3:100% → V4:100% → V5:100% → V6:100% → V7:100%,✔,—
cfg_side_airbag,V1:100% → V2:94% → V3:96% → V4:97% → V5:99% → V6:100% → V7:100%,✘,V1(1) → V2(0.9423)
cfg_curtain_airbag,V1:66% → V2:73% → V3:76% → V4:86% → V5:99% → V6:100% → V7:100%,✔,—
cfg_knee_airbag,V3:14% → V4:16% → V5:26% → V6:17% → V7:0%,✘,V5(0.2593) → V6(0.1702)；V6(0.1702) → V7(0)
cfg_center_airbag,V6:9% → V7:93%,✔,—
cfg_belt_pretensioner,V1:97% → V2:100% → V3:100% → V4:100% → V5:100% → V6:100% → V7:100%,✔,—
cfg_belt_loadlimiter,V1:100% → V2:100% → V3:100% → V4:100% → V5:100% → V6:100% → V7:100%,✔,—
cfg_belt_reminder_driver,V1:100% → V2:98% → V3:100% → V4:100% → V5:100% → V6:100% → V7:100%,✘,V1(1) → V2(0.9808)
cfg_belt_reminder_passenger,V1:80% → V2:90% → V3:99% → V4:99% → V5:100%,✘,V3(0.9905) → V4(0.9873)
cfg_isofix,V1:49% → V2:94% → V3:99% → V4:100% → V5:100% → V6:100% → V7:100%,✔,—
cfg_seat_monitor,V1:9% → V2:85% → V3:98% → V4:96% → V5:94% → V6:100% → V7:100%,✘,V3(0.981) → V4(0.962)；V4(0.962) → V5(0.9398)
belt_grade_row1,V3:100% → V4:100% → V5:100%,✔,—
belt_grade_row2,V3:24% → V4:57% → V5:81%,✔,—
