fold,test,n,mode,MAE,RMSE,max_err,skill_vs_mean
F1,V3,124,upper,0.0004,0.0023,0.0164,0.9923
F1,V3,124,oracle,0.0516,0.0643,0.2294,-0.112
F1,V3,124,zero,0.0525,0.0661,0.2294,-0.1318
F2,V4,106,upper,0.0,0.0,0.0,1.0
F2,V4,106,oracle,0.0358,0.0453,0.1458,0.2864
F2,V4,106,zero,0.0374,0.0486,0.1591,0.2542
F3,V5,102,upper,0.0009,0.007,0.0633,0.9792
F3,V5,102,oracle,0.0448,0.0589,0.1949,-0.0084
F3,V5,102,zero,0.0455,0.0594,0.1866,-0.0249
F4,V6,9,upper,0.0,0.0,0.0,1.0
F4,V6,9,oracle,0.0513,0.0762,0.1732,-0.4187
F4,V6,9,zero,0.068,0.0919,0.1897,-0.8814
